sectorId,mapName,display_name,comment,Label1,City,WeatherZone,underground,in_metadata,campaignId
L6_Underground,XnkxuED,Бункер партизан,Бункер партизан,,,,True,True,HotDiamonds
L7,UxRaASA,Рыбацкая деревня,Небольшая рыбацкая деревня,,ErnieVillage,,False,True,HotDiamonds
L11,V4PtNEt,,Укрепленный остров с орудиями,,,,False,True,HotDiamonds
L13,EuSA4VN,Безликий,Остров контрабандистов,,,,False,True,HotDiamonds
L15,d6nSHQ,Camp La Barrière,Кам-Ла-Барьер,Outpost,,GreatForest,False,True,HotDiamonds
L16,Cpootzp,Great Forest,Великий лес,,,SouthJungle,False,True,HotDiamonds
L16_Underground,d7NYwWJ,U-Bahn Station D,Подземелье со входом из подземелья ФоШо,,,,True,True,HotDiamonds
L17,dciGExr,Fort Brigand,Разбойничий форт,Outpost,,Wetlands,False,True,HotDiamonds
L17_Underground,cGP5RH3,Underground Tunnel,,,,,True,True,HotDiamonds
L19,Quohbrz,Нет локации,Речные Островки,,,,False,True,HotDiamonds
L26,jEeRz5a,Farmland,Фермы,,,Farmland,False,True,HotDiamonds
L27,YbeGv36,Great Forest,Великий лес,,,SouthJungle,False,True,HotDiamonds
L31,GSWNb,Farmland,Фермы,,,Farmland,False,True,HotDiamonds
M1,EPA7FVN,Зона высадки,Стартовый берег,,,Erny,False,True,HotDiamonds
M2,qRiCMTo,Скалистый берег,Филер_2я локация,,,Erny,False,True,HotDiamonds
M3,isJdmPy,Водопад,Водопад,,,,False,True,HotDiamonds
M4,cd6xgVh,The Outlook,Смотровая площадка,Ernie,,Erny,False,True,HotDiamonds
M5,pSwGPnp,Береговая линия,Филер по пути к пляжу,,,Erny,False,True,HotDiamonds
M6,qzVESk5,Старый порт,Филер_2 по пути к пляжу,,,Erny,False,True,HotDiamonds
M26,PNDrqcf,Farmland,Фермы,,,Farmland,False,True,HotDiamonds
M31,tP7vqmh,Farmland,Фермы,,,Farmland,False,True,HotDiamonds
N11,nMmefSY,Укреп район Какао,Укреп в N11,,,SouthJungle,False,True,HotDiamonds
N12,camztWx,Port Cacao City,Какао город,City,PortDiancie,SouthJungle,False,True,HotDiamonds
N13,FpCgakp,Port Cacao Docks,Доки порт_Какао,City,PortDiancie,SouthJungle,False,True,HotDiamonds
N16,DvDj7va,Wetlands,Размотанный самолет,,,Wetlands,False,True,HotDiamonds
N22,HpXRoyW,Great Forest,Великий лес,,,SouthJungle,False,True,HotDiamonds
N23,Qz4yGQr,Old Graveyard,Старое кладбище,,,Farmland,False,True,HotDiamonds
N24,MuKKhYV,Farmland,Фермы,,,Farmland,False,True,HotDiamonds
N25,nEhGetV,,Филер,,,,False,True,HotDiamonds
N26,PCYMGn4,,Филер,,,,False,True,HotDiamonds
N27,HvHnpEm,Farmland,Фермы,,,Farmland,False,True,HotDiamonds
N28,ii6Yeod,Ферма,Ферма,,,Farmland,False,True,HotDiamonds
N29,Rofukov,Middle of Somewhere,Гдетотам,,,Farmland,False,True,HotDiamonds
N30,kKvrCA6,Farmland,Фермы,,,Farmland,False,True,HotDiamonds
N31,Den4PN,Farmland,Фермы,,,Farmland,False,True,HotDiamonds
O10,fMWHxtM,,Филер,,,,False,True,HotDiamonds
O11,3qduS,Пригород Какао,Пригород Какао,,,,False,True,HotDiamonds
O13,KkR53xA,The Dump,Свалка Какао,,PortDiancie,SouthJungle,False,True,HotDiamonds
O14,tnnLoc,,Аванпост Какао (Пока нет),,,,False,True,HotDiamonds
O15,saxrae7,Сектор О15 видел? тоже самое,Сектор О15 видел? тоже самое,,,,False,True,HotDiamonds
O16,XVJfNwf,Old Diamond,Олд-Даймонд(Шахта возле какао),Mine,PortDiancie,SouthJungle,False,True,HotDiamonds
O17,YTiXWVh,,Великий лес(Дорога),,,,False,True,HotDiamonds
O18,RDVTgah,,Мост на Какао,,,,False,True,HotDiamonds
O19,FrxvGHX,Филер,Филер,,,,False,True,HotDiamonds
O20,NYrtAxS,Jungle River Bank,Берег реки в джунглях,,,SouthJungle,False,True,HotDiamonds
O21,RVMSRbW,Great Forest,Великий лес,,,SouthJungle,False,True,HotDiamonds
O22,WzdVaNV,Филер,Филер,,,,False,True,HotDiamonds
O23,LDXkV6z,Филер,Филер,,,,False,True,HotDiamonds
P8,aszyR5Y,The Good Place,Хорошее место,Dungeon,,SouthJungle,False,True,HotDiamonds
P8_Underground,UgSe5Pc,The Good Place (Underground),,Dungeon,,,True,True,HotDiamonds
P9,PciM4k,Jungle River Bank,Берег реки рядом с тюрьмой,,,SouthJungle,False,True,HotDiamonds
P10,qppXxPw,,Великий лес (Будет),,,,False,True,HotDiamonds
P11,cSFjTT,Great Forest,Великий лес,,,SouthJungle,False,True,HotDiamonds
P15,JAUWMKo,Лес,Лес,,,SouthJungle,False,True,HotDiamonds
P15_Underground,fVAahMG,Underground Lab,,,,,True,True,HotDiamonds
P16,DYKyfjt,ГдеГдеВезде,ГдеГдеВезде,,,Wetlands,False,True,HotDiamonds
P17,JFxNeEb,Камп Де Крокодиль,Камп Де Крокодиль,Outpost,,Wetlands,False,True,HotDiamonds
P19,my6UMM,Заброшенный Аэродром,Заброшенный аэродром,,,GreatForest,False,True,HotDiamonds
P26,AcNCfY4,Военная база ЮГ,Военная база,,,,False,True,HotDiamonds
